date,heure,lieu,equipement,type_panne,gravite,priorite,mois,annee
2025-01-02,16H50min,GDR3522,Bâtiments et Pistes,Problème électrique,Mineure,Moyenne,2025-01,2025
2025-01-02,14H59min,GDR1502,Groupe électrogène,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-02,10H46min,GDR1518,Simplex,Fuite carburant,Critique,Urgente,2025-01,2025
2025-01-02,,GDR3522,Bâtiments et Pistes,Problème électrique,Mineure,Moyenne,2025-01,2025
2025-01-02,14H17min,GDR1512,VVF P.Immergée,Fuite carburant,Modérée,Urgente,2025-01,2025
2025-01-02,17H30min,GDR1506,Bâtiments et Pistes,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-02,,PVA OUMIAA,Bâtiments et Pistes,Anomalie technique,Mineure,Basse,2025-01,2025
2025-01-02,14H52min,Centre  LP 215G,MP 01,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-02,7H42min,GDR1513,MP 02,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-02,13H43min,GDR1510,Electricité,Problème électrique,Mineure,Moyenne,2025-01,2025
2025-01-02,,GDR1504,Réseau Mécanique,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-02,13H42min,GDR3523,Réseau Mécanique,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-02,16H30min,GDR1512,Duplex GO,Fuite carburant,Modérée,Moyenne,2025-01,2025
2025-01-02,12H50min,GDR1502,R Eau Sanitaire,Panne arrêt total,Modérée,Moyenne,2025-01,2025
2025-01-02,5H42min,GDR3523,TGBT,Anomalie technique,Mineure,Basse,2025-01,2025
2025-01-02,10H33min,GDR1506,MP 02,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-02,16H04min,GDR1510,MP 01,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-02,16H43min,GDR3522,MP,Pistolet HS,Mineure,Moyenne,2025-01,2025
2025-01-02,15H05min,GDR1506,Groupe électrogène,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-02,11H12min,GDR1503,Electricité,Problème électrique,Modérée,Moyenne,2025-01,2025
2025-01-02,,GDR1502,MP,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-02,11H26min,GDR1502,Cuve Carburants,Eau dans cuve,Critique,Urgente,2025-01,2025
2025-01-02,9H10min,GDR1515,Bâtiments et Pistes,Lampe grillée,Mineure,Moyenne,2025-01,2025
2025-01-02,14H54min,GDR1504,Groupe électrogène,Fuite carburant,Modérée,Urgente,2025-01,2025
2025-01-02,16H16min,GDR1513,Duplex GO,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-02,10H02min,GDR1504,ARMOIR ELECTRIQUE,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-03,15H43min,GDR3523,MP,Pistolet HS,Mineure,Moyenne,2025-01,2025
2025-01-03,16H33min,GDR3523,Duplex GO,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-03,6H57min,GL HAMOUTENE,Bâtiments et Pistes,Lampe grillée,Modérée,Moyenne,2025-01,2025
2025-01-03,14H51min,GDR1516,Electricité,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-03,15H26min,GDR1510,Cuve GPLc,Anomalie technique,Modérée,Urgente,2025-01,2025
2025-01-03,15H30min,GDR1507,Duplex GPLc,Anomalie technique,Modérée,Urgente,2025-01,2025
2025-01-03,16H11min,GDR3522,Duplex GPLc,Anomalie technique,Critique,Urgente,2025-01,2025
2025-01-03,7H27min,GDR1510,Duplex GPLc,Anomalie technique,Modérée,Urgente,2025-01,2025
2025-01-03,15H29min,GDR1504,Duplex GO,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-03,14H07min,GDR1504,Réseau de Refroidissement,Pompe HS,Modérée,Urgente,2025-01,2025
2025-01-03,10H03min,GDR1507,Simplex GO,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-03,9H44min,GDR23522,Duplex GPLc,Anomalie technique,Critique,Urgente,2025-01,2025
2025-01-03,17H47min,GDR1516,MP 01,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-03,18H54min,GDR1516,MP 02,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-03,16H41min,GDR1504,Duplex GO,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-03,9H31min,CENTRE 215K CONVERTION GPLc,Groupe électrogène,Eau dans cuve,Modérée,Moyenne,2025-01,2025
2025-01-04,19H40min,GDR1512,Duplex GPLc,Fuite carburant,Critique,Urgente,2025-01,2025
2025-01-04,10H47min,GDR1504,Electricité,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-04,11H14min,GDR1503,Groupe électrogène,Batterie HS,Modérée,Urgente,2025-01,2025
2025-01-04,7H47min,GDR1513,Bâtiments et Pistes,Lampe grillée,Mineure,Moyenne,2025-01,2025
2025-01-04,7H32min,GDR1505,Duplex GO,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-04,10H37min,GDR1517,Simplex SP,Contrôle débit,Modérée,Moyenne,2025-01,2025
2025-01-04,6H35min,GDR1510,MP,Pistolet HS,Mineure,Moyenne,2025-01,2025
2025-01-04,9H53min,GDR1510,Réseau Mécanique,Eau dans cuve,Modérée,Urgente,2025-01,2025
2025-01-04,20H58min,GDR1512,MP,Pistolet HS,Mineure,Moyenne,2025-01,2025
2025-01-04,,PVA OUMIAA,HSE,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-04,18H08min,GDR1506,MP 02,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-04,15H32min,GDR1510,Duplex GO,Fuite carburant,Modérée,Urgente,2025-01,2025
2025-01-04,10H14min,GDR1512,VVF P.Immergée,Eau dans cuve,Critique,Urgente,2025-01,2025
2025-01-04,13H53min,GDR1503,R Eau Sanitaire,Eau dans cuve,Modérée,Urgente,2025-01,2025
2025-01-04,13H53min,GDR1503,Electricité,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-04,14H37min,GDR1510,VVF P.Immergée,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-04,9H16min,GDR1512,MP,Contrôle débit,Modérée,Moyenne,2025-01,2025
2025-01-04,13H23min,GDR1515,Cuve GPLc,Anomalie technique,Modérée,Urgente,2025-01,2025
2025-01-05,18H23min,GDR3523,TGBT,Anomalie technique,Modérée,Urgente,2025-01,2025
2025-01-05,15H30min,GDR1517,Cuve GPLc,Anomalie technique,Modérée,Urgente,2025-01,2025
2025-01-05,16H58min,CMS,Bâtiments et Pistes,Lampe grillée,Mineure,Moyenne,2025-01,2025
2025-01-05,15H04min,GDR1512,Duplex GO,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-05,13H39min,GDR1501,Duplex GO,Fuite carburant,Modérée,Urgente,2025-01,2025
2025-01-05,15H46min,GDR1507,Duplex GO,Eau dans cuve,Modérée,Urgente,2025-01,2025
2025-01-05,18H50min,GDR1515,Duplex GO,Tuyauterie défectueuse,Modérée,Urgente,2025-01,2025
2025-01-05,12H49min,GDR1516,Electricité,Eau dans cuve,Critique,Urgente,2025-01,2025
2025-01-05,13H05min,GDR1505,Duplex GPLc,Eau dans cuve,Critique,Urgente,2025-01,2025
2025-01-05,10H13min,GDR3523,Duplex GPLc,Fuite carburant,Critique,Urgente,2025-01,2025
2025-01-05,10H31min,GDR1510,Simplex GO,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-05,,GDR3522,Duplex GO,Pistolet HS,Mineure,Moyenne,2025-01,2025
2025-01-05,16H59min,GDR1513,MP,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-05,13H53min,GDR1513,MP 01,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-05,12H25min,GDR1504,TGBT,Problème électrique,Mineure,Moyenne,2025-01,2025
2025-01-05,15H23min,GDR1518,Cuve Carburants,Eau dans cuve,Critique,Urgente,2025-01,2025
2025-01-05,18H08min,GDR1515,Cuve Carburants,Anomalie technique,Modérée,Urgente,2025-01,2025
2025-01-05,10H09min,GDR3522,Cuve GPLc,Anomalie technique,Modérée,Urgente,2025-01,2025
2025-01-05,16H07min,GDR1518,MP 02,Pistolet HS,Mineure,Moyenne,2025-01,2025
2025-01-05,17H51min,GDR3523,Bâtiments et Pistes,Lampe grillée,Modérée,Urgente,2025-01,2025
2025-01-05,10H05min,GDR3522,VVF P.Immergée,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-05,17H03min,PVA AGOUDJIL,VVF P.Immergée,Fuite carburant,Modérée,Urgente,2025-01,2025
2025-01-05,11H57min,GDR1504,MP,Fuite carburant,Modérée,Urgente,2025-01,2025
2025-01-05,10H00min,GDR3522,VVF P.Immergée,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-05,17H09min,GDR1515,MP,Pistolet HS,Mineure,Moyenne,2025-01,2025
2025-01-05,9H03min,GDR1516,MP,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-05,17H27min,GDR1512,Duplex GO,Tuyauterie défectueuse,Modérée,Urgente,2025-01,2025
2025-01-05,10H20min,GL ABDENOURI,TGBT,Problème électrique,Mineure,Moyenne,2025-01,2025
2025-01-05,,GDR1512,Cuve GPLc,Pompe HS,Critique,Urgente,2025-01,2025
2025-01-05,15H46min,GDR1517,Duplex GO,Compteur défectueux,Modérée,Urgente,2025-01,2025
2025-01-05,19H32min,GDR3522,MP,Anomalie technique,Modérée,Urgente,2025-01,2025
2025-01-05,6H21min,GDR1515,MP,Pistolet HS,Modérée,Moyenne,2025-01,2025
2025-01-05,14H25min,GDR1512,Cuve GPLc,Eau dans cuve,Critique,Urgente,2025-01,2025
2025-01-05,13H09min,GDR1506,Station Service,Eau dans cuve,Critique,Urgente,2025-01,2025
2025-01-05,10H07min,GL ABDENOURI,Cuve Carburants,Eau dans cuve,Critique,Urgente,2025-01,2025
2025-01-06,11H14min,GDR1512,Bâtiments et Pistes,Lampe grillée,Mineure,Moyenne,2025-01,2025
2025-01-06,11H04min,GDR1517,Electricité,Eau dans cuve,Modérée,Urgente,2025-01,2025
2025-01-06,7H49min,GDR1507,VVF P.Immergée,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-06,15H28min,GDR1510,MP 01,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-06,16H04min,GDR1516,MP 02,Contrôle débit,Modérée,Moyenne,2025-01,2025
2025-01-06,13H17min,GL ABDENOURI,HSE,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-06,11H47min,GDR1512,VVF P.Immergée,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-06,6H07min,GDR1507,Simplex SP,Eau dans cuve,Modérée,Moyenne,2025-01,2025
2025-01-06,10H08min,GDR1503,MP 01,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-06,11H14min,GDR1512,Simplex GO,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-06,8H24min,GDR1504,Bâtiments et Pistes,Lampe grillée,Mineure,Moyenne,2025-01,2025
2025-01-06,99H36min,GDR1510,Duplex GO,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-06,10H53min,GDR1505,Simplex GO,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-06,15H19min,GDR1504,Bâtiments et Pistes,Lampe grillée,Modérée,Moyenne,2025-01,2025
2025-01-06,12H33min,GDR3522,Bâtiments et Pistes,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-06,,GDR3522,Duplex GPLc,Anomalie technique,Modérée,Urgente,2025-01,2025
2025-01-06,,GDR1512,Bâtiments et Pistes,Eau dans cuve,Critique,Urgente,2025-01,2025
2025-01-06,,GDR1503,VVF P.Immergée,Pompe HS,Modérée,Moyenne,2025-01,2025
2025-01-06,16H50min,GDR1518,Duplex GPLc,Pistolet HS,Modérée,Urgente,2025-01,2025
2025-01-06,9H48min,GDR1512,Duplex GPLc,Anomalie technique,Modérée,Urgente,2025-01,2025
2025-01-06,18H29min,GDR1512,Stabilisateur,Problème électrique,Mineure,Moyenne,2025-01,2025
2025-01-06,7H02min,GDR1510,Pont Elévateur,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-06,15H49min,GDR3522,MP 01,Contrôle débit,Modérée,Moyenne,2025-01,2025
2025-01-06,13H46min,GDR1504,Groupe électrogène,Batterie HS,Mineure,Moyenne,2025-01,2025
2025-01-06,13H51min,GDR1507,Duplex GPLc,Pistolet HS,Modérée,Urgente,2025-01,2025
2025-01-06,15H54min,GDR1503,Simplex SP,Pistolet HS,Modérée,Moyenne,2025-01,2025
2025-01-06,12H33min,GDR3523,Simplex SP 01,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-06,16H03min,GDR1510,Duplex GPLc,Electrovanne HS,Critique,Urgente,2025-01,2025
2025-01-06,13H59min,GDR1505,Station Service,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-06,13H52min,GDR1505,Simplex GO,Contrôle débit,Modérée,Moyenne,2025-01,2025
2025-01-06,8H54min,SIEGE,Bâtiments et Pistes,Eau dans cuve,Modérée,Moyenne,2025-01,2025
2025-01-06,10H26min,GDR1517,Simplex SP 01,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-06,7H51min,GDR1512,Duplex GO,Pistolet HS,Mineure,Moyenne,2025-01,2025
2025-01-06,12H02min,GDR3523,Station Service,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-06,12H24min,GDR1501,MP 01,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-06,20H11min,GDR1504,Duplex GPLc,Pistolet HS,Critique,Urgente,2025-01,2025
2025-01-07,16H47min,GDR1507,Duplex GPLc,Fuite carburant,Critique,Urgente,2025-01,2025
2025-01-07,14H31min,GDR1503,Duplex GO,Contrôle débit,Modérée,Moyenne,2025-01,2025
2025-01-07,16H47min,GDR1516,Duplex GPLc,Pistolet HS,Modérée,Urgente,2025-01,2025
2025-01-07,16H25min,GDR3523,Réseau Mécanique,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-07,10H02min,PVA BOUDAOUD,Pompe a eau,Pompe HS,Critique,Urgente,2025-01,2025
2025-01-07,13H33min,GL ABDENOURI,Groupe électrogène,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-07,8H54min,GDR1515,Bâtiments et Pistes,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-07,15H25min,Centre  LP 215G,MP,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-07,15H00min,"PVA CHELOUL Achour "" Relais Vert""",Simplex SP,Fuite carburant,Modérée,Moyenne,2025-01,2025
2025-01-07,9H42min,GDR1513,Duplex GPLc,Fuite carburant,Critique,Urgente,2025-01,2025
2025-01-07,16H17min,GDR3523,MP 01,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-07,17H29min,GDR1512,MP 02,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-07,14H09min,GDR1507,Simplex SP,Pistolet HS,Mineure,Moyenne,2025-01,2025
2025-01-07,10H29min,GDR3522,Pont Elévateur,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-07,10H49min,GL Dellys Marine,MP 01,Contrôle débit,Mineure,Basse,2025-01,2025
2025-01-07,17H19min,GDR1507,MP 01,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-07,14H33min,GDR1507,Cuve GPLc,Anomalie technique,Modérée,Urgente,2025-01,2025
2025-01-07,9H12min,GDR1513,Trous d'homme,Eau dans cuve,Modérée,Moyenne,2025-01,2025
2025-01-07,11H29min,GDR1516,Duplex GPLc,Fuite carburant,Critique,Urgente,2025-01,2025
2025-01-07,14H13min,GDR1507,Duplex GPLc,Electrovanne HS,Critique,Urgente,2025-01,2025
2025-01-07,10H09min,GDR3523,MP,Eau dans cuve,Modérée,Moyenne,2025-01,2025
2025-01-07,9H20min,GDR3522,Duplex GPLc,Fuite carburant,Critique,Urgente,2025-01,2025
2025-01-07,12H31min,GDR1518,Duplex GO,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-07,16H22min,GDR3522,Bâtiments et Pistes,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-07,17H03min,GDR1510,Simplex SO 01,Tuyauterie défectueuse,Mineure,Moyenne,2025-01,2025
2025-01-07,15H04min,GDR1515,Cuve Carburants,Anomalie technique,Modérée,Urgente,2025-01,2025
2025-01-07,5H46min,GDR1506,MP 02,Anomalie technique,Mineure,Basse,2025-01,2025
2025-01-07,18H33min,CENTRE 215K CONVERTION GPLc,Pompe a eau,Pompe HS,Critique,Urgente,2025-01,2025
2025-01-07,6H20min,GDR1504,Groupe électrogène,Eau dans cuve,Modérée,Moyenne,2025-01,2025
2025-01-07,16H04min,Dépôt OUADIAS,Bâtiments et Pistes,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-07,,GDR3522,Electricité,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-07,15H05min,GDR1516,Bâtiments et Pistes,Lampe grillée,Mineure,Moyenne,2025-01,2025
2025-01-07,13H39min,GDR1505,MP 01,Contrôle débit,Modérée,Moyenne,2025-01,2025
2025-01-07,10H47min,GDR1513,Duplex GO,Fuite carburant,Critique,Urgente,2025-01,2025
2025-01-07,18H32min,GL SAADI,Bâtiments et Pistes,Lampe grillée,Mineure,Moyenne,2025-01,2025
2025-01-07,7H01min,GDR1510,Bâtiments et Pistes,Lampe grillée,Mineure,Moyenne,2025-01,2025
2025-01-07,8H43min,GDR1504,Duplex GO,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-07,17H18min,GDR3522,TGBT,Pompe HS,Critique,Urgente,2025-01,2025
2025-01-07,14H40min,GDR3523,MP 01,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-07,16H42min,GDR1509,Duplex GPLc,Panne arrêt total,Modérée,Urgente,2025-01,2025
2025-01-08,12H53min,GDR1507,Duplex GO,Pistolet HS,Mineure,Moyenne,2025-01,2025
2025-01-08,14H27min,GDR1516,Cuve Carburants,Eau dans cuve,Critique,Urgente,2025-01,2025
2025-01-08,10H48min,PVA AGOUDJIL,MP,Pistolet HS,Modérée,Moyenne,2025-01,2025
2025-01-08,19H19min,GDR1507,MP,Eau dans cuve,Modérée,Urgente,2025-01,2025
2025-01-08,9H51min,GL SAADI,MP,Anomalie technique,Mineure,Basse,2025-01,2025
2025-01-08,8H58min,GDR1507,Electricité,Eau dans cuve,Critique,Urgente,2025-01,2025
2025-01-08,14H58min,GDR3522,Cuve GPLc,Pompe HS,Critique,Urgente,2025-01,2025
2025-01-08,12H32min,GDR1512,MP,Contrôle débit,Modérée,Moyenne,2025-01,2025
2025-01-08,15H15min,GDR1515,MP,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-08,18H54min,GDR1502,Bâtiments et Pistes,Problème électrique,Mineure,Moyenne,2025-01,2025
2025-01-08,13H16min,GDR1507,MP,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-08,13H18min,GDR1518,Duplex GPLc,Fuite carburant,Critique,Urgente,2025-01,2025
2025-01-08,14H30min,GDR3523,Bâtiments et Pistes,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-08,10H50min,GDR1507,RIA,Pompe HS,Modérée,Moyenne,2025-01,2025
2025-01-08,,GDR3523,MP,Blocage mécanique,Modérée,Moyenne,2025-01,2025
2025-01-08,10H09min,GDR1505,Groupe électrogène,Batterie HS,Modérée,Moyenne,2025-01,2025
2025-01-08,16H24min,GDR1503,MP,Contrôle débit,Modérée,Moyenne,2025-01,2025
2025-01-08,7H43min,GDR1512,Cuve Carburants,Eau dans cuve,Critique,Urgente,2025-01,2025
2025-01-08,11H31min,GDR1513,Duplex GO,Pistolet HS,Mineure,Moyenne,2025-01,2025
2025-01-08,14H41min,GDR1518,Duplex GPLc,Blocage mécanique,Critique,Urgente,2025-01,2025
2025-01-08,17H37min,GDR3522,MP 01,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-08,13H51min,GDR1513,Electricité,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-08,9H29min,GDR3523,Duplex GO,Contrôle débit,Modérée,Moyenne,2025-01,2025
2025-01-08,12H51min,GDR3522,Pont Elévateur,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-08,8H24min,SIEGE,Electricité,Eau dans cuve,Modérée,Moyenne,2025-01,2025
2025-01-08,9H38min,GDR,Duplex GO,Contrôle débit,Modérée,Moyenne,2025-01,2025
2025-01-08,7H41min,PVA CHABANE,Stabilisateur,Problème électrique,Mineure,Basse,2025-01,2025
2025-01-08,19H28min,GDR1512,Baie de Service,Problème électrique,Modérée,Moyenne,2025-01,2025
2025-01-08,16H46min,GDR1513,Simplex SP,Fuite carburant,Critique,Urgente,2025-01,2025
2025-01-08,9H29min,PVA AGOUDJIL,VVF P.Immergée,Anomalie technique,Mineure,Basse,2025-01,2025
2025-01-08,7H47min,GDR3522,MP 02,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-08,5H09min,GDR3523,MP 02,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-08,12H44min,GDR1506,MP 02,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-08,10H35min,GDR1510,Simplex SP,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-08,5H36min,GDR1512,Groupe électrogène,Fuite carburant,Modérée,Moyenne,2025-01,2025
2025-01-08,17H08min,GDR1513,MP,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-08,17H43min,GDR3522,VVF P.Immergée,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-08,7H53min,GDR1502,MP 01,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-08,13H18min,GDR1504,Simplex SP 01,Contrôle débit,Modérée,Moyenne,2025-01,2025
2025-01-08,10H54min,GDR1513,Réseau Mécanique,Fuite carburant,Critique,Urgente,2025-01,2025
2025-01-08,,GDR1504,Pont Elévateur,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-08,,GDR1516,R Eau Sanitaire,Panne arrêt total,Modérée,Moyenne,2025-01,2025
